GRAPH_TYPE = ER
Nodes | Samples | Algo | AP | AR | A-F1 | HP | HR | H-F1 | SHD | SID | Time
5 | 500 | NOTEARS-Nonlinear | 0.750±0.356 | 0.447±0.301 | 0.529±0.300 | 0.642±0.393 | 0.366±0.298 | 0.437±0.303 | 3.500±1.746 | 8.050±5.152 | 1.287±1.042 | 
5 | 1000 | NOTEARS-Nonlinear | 0.778±0.359 | 0.449±0.322 | 0.527±0.311 | 0.558±0.427 | 0.338±0.321 | 0.391±0.324 | 3.550±1.830 | 8.200±5.144 | 1.343±1.199 | 
5 | 2000 | NOTEARS-Nonlinear | 0.777±0.351 | 0.463±0.309 | 0.543±0.301 | 0.595±0.422 | 0.356±0.307 | 0.416±0.317 | 3.500±1.746 | 8.350±5.003 | 1.630±1.447 | 
10 | 500 | NOTEARS-Nonlinear | 0.867±0.217 | 0.458±0.235 | 0.567±0.229 | 0.824±0.244 | 0.427±0.222 | 0.532±0.220 | 5.900±1.972 | 16.100±7.726 | 3.649±2.359 | 
10 | 1000 | NOTEARS-Nonlinear | 0.872±0.219 | 0.481±0.244 | 0.587±0.234 | 0.830±0.242 | 0.453±0.240 | 0.555±0.234 | 5.650±2.128 | 16.100±8.105 | 4.225±2.617 | 
10 | 2000 | NOTEARS-Nonlinear | 0.852±0.215 | 0.459±0.235 | 0.564±0.222 | 0.809±0.245 | 0.431±0.235 | 0.530±0.224 | 6.050±2.179 | 16.900±11.077 | 5.955±3.843 | 
15 | 500 | NOTEARS-Nonlinear | 0.826±0.241 | 0.392±0.170 | 0.513±0.190 | 0.768±0.241 | 0.363±0.162 | 0.475±0.182 | 9.600±2.396 | 31.300±14.741 | 5.353±3.018 | 
15 | 1000 | NOTEARS-Nonlinear | 0.854±0.148 | 0.422±0.166 | 0.541±0.168 | 0.797±0.170 | 0.390±0.154 | 0.500±0.158 | 9.550±2.747 | 30.900±15.843 | 6.631±3.365 | 
15 | 2000 | NOTEARS-Nonlinear | 0.835±0.138 | 0.436±0.167 | 0.547±0.165 | 0.714±0.219 | 0.389±0.163 | 0.487±0.172 | 9.750±2.662 | 31.700±16.586 | 10.972±5.181 | 
