GRAPH_TYPE = SF
Nodes | Samples | Algo | AP | AR | A-F1 | HP | HR | H-F1 | SHD | SID | Time
5 | 500 | NOTEARS-Nonlinear | 0.680±0.418 | 0.412±0.309 | 0.482±0.320 | 0.601±0.412 | 0.350±0.278 | 0.414±0.294 | 2.900±1.136 | 6.250±3.345 | 1.225±1.134 | 
5 | 1000 | NOTEARS-Nonlinear | 0.818±0.358 | 0.450±0.269 | 0.553±0.278 | 0.638±0.413 | 0.362±0.279 | 0.440±0.301 | 2.700±1.054 | 6.500±4.129 | 1.435±1.336 | 
5 | 2000 | NOTEARS-Nonlinear | 0.746±0.396 | 0.463±0.309 | 0.541±0.312 | 0.529±0.439 | 0.338±0.319 | 0.389±0.331 | 2.900±1.221 | 6.900±4.194 | 1.702±1.485 | 
10 | 500 | NOTEARS-Nonlinear | 0.780±0.245 | 0.483±0.190 | 0.575±0.196 | 0.645±0.277 | 0.400±0.200 | 0.474±0.213 | 6.650±2.104 | 26.150±14.044 | 4.325±2.613 | 
10 | 1000 | NOTEARS-Nonlinear | 0.772±0.246 | 0.478±0.190 | 0.565±0.191 | 0.643±0.278 | 0.406±0.215 | 0.474±0.219 | 6.700±1.926 | 25.300±13.576 | 5.025±3.408 | 
10 | 2000 | NOTEARS-Nonlinear | 0.778±0.242 | 0.478±0.158 | 0.577±0.167 | 0.652±0.270 | 0.406±0.184 | 0.486±0.198 | 6.600±1.908 | 25.550±13.589 | 7.527±4.266 | 
15 | 500 | NOTEARS-Nonlinear | 0.746±0.161 | 0.454±0.169 | 0.542±0.143 | 0.667±0.227 | 0.407±0.185 | 0.487±0.180 | 10.750±2.844 | 45.200±22.704 | 7.544±3.001 | 
15 | 1000 | NOTEARS-Nonlinear | 0.764±0.176 | 0.439±0.160 | 0.532±0.134 | 0.650±0.271 | 0.379±0.190 | 0.457±0.197 | 11.050±2.889 | 47.700±24.270 | 9.202±4.344 | 
15 | 2000 | NOTEARS-Nonlinear | 0.758±0.156 | 0.457±0.167 | 0.550±0.137 | 0.687±0.225 | 0.411±0.179 | 0.495±0.170 | 10.550±2.765 | 44.250±22.228 | 14.953±6.669 | 
